id,title,external_id,overview,vote_average,poster_path
79,The Unholy,632357,"Alice, a young hearing-impaired girl who, after a supposed visitation from the Virgin Mary, is inexplicably able to hear, speak and heal the sick. As word spreads and people from near and far flock to witness her miracles, a disgraced journalist hoping to revive his career visits the small New England town to investigate. When terrifying events begin to happen all around, he starts to question if these phenomena are the works of the Virgin Mary or something much more sinister.",6,/bShgiEQoPnWdw4LBrYT5u18JF34.jpg
82,Black Water: Abyss,522444,"An adventure-loving couple convince their friends to explore a remote, uncharted cave system in the forests of Northern Australia. With a tropical storm approaching, they abseil into the mouth of the cave, but when the caves start to flood, tensions rise as oxygen levels fall and the friends find themselves trapped. Unknown to them, the storm has also brought in a pack of dangerous and hungry crocodiles.",5,/95S6PinQIvVe4uJAd82a2iGZ0rA.jpg
89,Major Grom: Plague Doctor,529106,"Igor Grom is a skilled policeman from St. Petersburg, known for his daring nature and uncompromising attitude towards the criminals of all kinds. Incredible strength, analytical mind and integrity – these qualities make Major Grom the perfect policeman. Working tirelessly, he always pushes through, and meets the challenges standing in the way.",6,/wnesEmcq7xdw1Rm1Bn6XEFTkenR.jpg
94,A Quiet Place Part II,520763,"Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize that the creatures that hunt by sound are not the only threats that lurk beyond the sand path.",7,/4q2hz2m8hubgvijz8Ez0T2Os2Yv.jpg
105,Muppets Haunted Mansion,826914,Gonzo is challenged to spend one night in The Haunted Mansion on Halloween night.,6,/yTQbZCxZ4amGZKC9ETjTr7ZAH7L.jpg
107,Hotel Transylvania: Transformania,585083,"When Van Helsing's mysterious invention, the ""Monsterfication Ray,"" goes haywire, Drac and his monster pals are all transformed into humans, and Johnny becomes a monster. In their new mismatched bodies, Drac and Johnny must team up and race across the globe to find a cure before it's too late, and before they drive each other crazy.",0,/6zt5l4DYV1kLPL5Vqz1kLq3THXD.jpg
111,Naruto Shippuden the Movie,20982,"Demons that once almost destroyed the world, are revived by someone. To prevent the world from being destroyed, the demon has to be sealed and the only one who can do it is the shrine maiden Shion from the country of demons, who has two powers; one is sealing demons and the other is predicting the deaths of humans. This time Naruto's mission is to guard Shion, but she predicts Naruto's death. The only way to escape it, is to get away from Shion, which would leave her unguarded, then the demon, whose only goal is to kill Shion will do so, thus meaning the end of the world. Naruto decides to challenge this ""prediction of death.""",7,/vDkct38sSFSWJIATlfJw0l3QOIR.jpg
119,Wonder Woman 1984,464052,A botched store robbery places Wonder Woman in a global battle against a powerful and mysterious ancient force that puts her powers in jeopardy.,6,/8UlWHLMpgZm9bx6QYh0NFoq67TZ.jpg
125,Go! Go! Cory Carson: Chrissy Takes the Wheel,876576,"From arcade games to sled days and hiccup cures, Cory Carson’s curious little sister Chrissy speeds off on her own for fun and adventure all over town!",5,/eZvpTcUk0L8paEqegXzUcJa9nG.jpg
23,Black Widow,497698,"Natasha Romanoff, also known as Black Widow, confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises. Pursued by a force that will stop at nothing to bring her down, Natasha must deal with her history as a spy and the broken relationships left in her wake long before she became an Avenger.",7,/qAZ0pzat24kLdO3o8ejmbLxyOac.jpg
